@relation 'Crime1Train_trainData-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 4 -E 4-Sweka.attributeSelection.BestFirst -D 2 -N 10'

@attribute mvar_2 numeric
@attribute mvar_12 numeric
@attribute mvar_17 numeric
@attribute mvar_25 numeric
@attribute mvar_32 numeric
@attribute mvar_40 numeric
@attribute output {0,1,2}

@data
?,209.069212,0,0,188.358581,1,0
?,68.735084,?,0,0,24,0
0,291.169451,4000,30,840.663663,1,1
0,124.105012,93.333333,0,517.796254,4,0
0,190.930788,146.666667,0,35.261519,17,0
?,?,?,?,?,17,1
0,212.887828,80,30,6.966461,0,1
?,7.637232,0,0,0,10,0
?,?,?,1,0,12,0
?,?,?,0,0,12,0
?,?,?,0,0,21,0
?,102.147971,0,0,0,12,0
?,157.5179,0,0,0,5,0
?,?,?,0,0,10,0
0,281.622912,480,29,156.33267,6,1
?,49.642005,?,0,0,10,0
0,109.785203,80,0,168.91192,38,0
2,187.112172,146.666667,30,422.510914,36,0
?,55.369928,?,0,0,1,0
?,?,?,0,0,?,0
0,194.749403,80,1,28.394107,24,0
?,?,?,1,0,11,0
0,304.534606,0,30,24.762303,?,1
0,288.305489,0,1,672.940334,1,1
0,177.565633,666.666667,0,94.724061,0,0
?,96.420048,0,0,0,2,0
0,238.663485,0,30,207.508095,1,1
0,239.618138,133.333333,30,155.738375,6,0
?,234.844869,0,30,0,?,0
0,180.429594,0,0,166.204575,6,0
?,71.599045,0,0,34.832306,2,0
0,133.651551,0,0,1286.418125,7,0
0,286.396181,0,30,23.111482,?,1
0,128.878282,0,0,220.417509,5,0
0,217.661098,80,0,536.087342,6,0
?,?,?,?,?,?,0
0,160.381862,0,0,2301.342364,4,0
0,238.663485,0,1,40.57716,14,1
?,?,?,0,0,5,0
?,?,?,0,0,7,0
0,297.852029,0,30,0,?,0
?,142.243437,0,0,918.549358,3,0
0,273.031026,0,0,930.897493,3,1
0,282.577566,2040,1,966.258061,?,1
0,276.849642,0,30,1460.579653,0,1
?,99.28401,0,0,4.886428,14,0
?,?,?,?,?,7,0
0,164.200477,200,30,22.220039,10,0
?,138.424821,0,0,86.93219,9,0
?,153.699284,0,0,30.738272,0,0
?,?,?,0,0,5,0
?,243.436754,0,30,0,?,0
?,145.107399,0,0,411.021206,2,0
?,?,?,?,?,10,0
0,195.704057,0,1,53.684672,4,0
?,?,0,?,?,?,0
?,?,?,0,4.820395,3,0
0,224.343675,0,30,57.052345,0,0
?,?,?,0,0,5,0
0,273.031026,0,0,587.658964,0,1
0,168.973747,80,0,3.202591,45,0
0,90.692124,1200,0,0,9,0
0,228.162291,0,0,196.678715,0,0
0,180.429594,0,0,39.355553,6,0
0,264.439141,0,2,677.628663,3,0
?,106.921241,0,0,0,0,0
0,147.97136,93.333333,0,83.894681,17,0
1,194.749403,0,0,794.737846,4,0
0,373.26969,0,30,2440.27539,6,0
?,?,?,0,0,5,0
0,211.933174,0,0,344.328071,44,0
0,182.338902,0,0,29.549681,16,0
0,155.608592,80,0,164.553754,0,0
0,5.727924,0,0,0,5,0
?,?,?,0,0,7,0
?,147.97136,0,29,0,16,0
0,98.329356,800,0,9.904921,2,0
0,326.491647,0,30,1154.08838,0,1
0,198.568019,0,0,1148.475591,1,0
0,113.603819,0,0,0,11,0
0,163.245823,160,0,407.356385,4,1
0,160.381862,0,0,10.763348,9,0
?,115.513127,?,0,0,0,0
?,?,?,?,?,?,0
?,148.926014,0,0,501.651233,9,0
0,156.563246,533.333333,0,115.491379,10,0
0,173.747017,0,0,32.356075,19,0
?,?,?,0,0,12,0
0,340.811456,666.666667,30,812.203523,?,1
0,176.610979,0,0,24.002925,6,0
?,63.961814,?,0,0,20,0
?,?,?,0,0,3,0
0,189.976134,0,1,11.456692,1,0
0,217.661098,0,0,265.286801,6,0
0,197.613365,120,0,109.87859,4,0
0,240.572792,266.666667,0,485.407162,7,1
1,273.98568,0,0,3442.356249,1,1
?,123.150358,0,0,0,19,0
0,180.429594,0,0,169.407166,20,0
?,98.329356,0,0,0,24,0
0,195.704057,0,0,341.785808,1,0
0,142.243437,0,0,2.509247,29,0
0,186.157518,0,30,12.381151,9,0
0,243.436754,506.666667,1,2654.915028,15,0
0,154.653938,266.666667,0,0,2,0
?,124.105012,0,0,0,10,0
0,236.754177,66.666667,2,267.465884,12,0
?,28.639618,?,0,0,0,0
0,137.470167,0,0,1512.481439,18,0
?,152.74463,0,0,70.457005,13,0
0,270.167064,0,30,67.221397,10,0
0,140.334129,0,0,91.785601,7,0
0,221.479714,0,30,7.857904,19,0
0,137.470167,0,0,68.013791,5,0
0,165.155131,0,0,6.603281,0,0
?,116.46778,0,0,101.129244,0,0
?,169.928401,0,0,45.16644,4,0
?,135.560859,0,0,0,9,0
0,147.97136,80,0,456.748924,1,0
?,?,?,0,0,8,0
0,?,0,0,8.254101,1,0
0,101.193317,43.733333,0,0.36318,1,0
?,?,?,30,0,13,0
0,377.088306,5386.666667,30,3228.740119,2,1
0,189.976134,96,0,163.200082,7,0
?,71.599045,0,0,46.784244,20,0
0,173.747017,0,0,52.595131,2,0
0,144.152745,66.666667,0,6.735346,10,0
?,?,?,?,?,0,0
0,292.124105,800,30,169.473199,0,1
0,?,?,0,0,1,0
?,?,?,?,?,?,0
0,167.064439,0,0,56.292968,3,0
?,86.873508,0,0,375.693654,11,0
0,267.303103,0,1,297.14763,?,0
0,173.747017,192,0,118.561905,14,0
0,107.875895,0,0,5.018493,1,0
0,215.75179,200,29,802.562733,0,0
?,78.281623,0,0,0,8,0
0,194.749403,312,0,3191.82778,5,1
?,140.334129,0,0,73.98976,10,0
?,154.653938,0,0,19.545711,2,0
0,226.252983,213.333333,1,47.18044,2,0
?,?,?,0,0,?,0
0,191.885442,80,0,1154.55061,2,1
0,145.107399,0,0,8.782363,6,0
0,105.966587,93.333333,0,79.470483,7,0
7,173.747017,0,0,297.213663,13,0
0,204.295943,85.333333,0,874.241345,7,1
?,?,?,?,?,12,0
?,?,0,30,0,3,0
?,39.140811,?,0,0,0,0
?,147.97136,0,0,480.850899,11,0
?,?,?,0,0,16,0
2,225.298329,0,30,346.771285,0,0
?,141.288783,0,0,5.381674,2,0
?,17.183771,0,0,0,4,0
?,105.966587,?,0,0,5,0
0,290.214797,266.666667,30,1813.888185,3,1
0,198.568019,1040,0,430.368818,?,1
?,?,?,?,?,?,0
0,359.904535,2666.666667,30,1682.813064,?,1
0,216.706444,0,1,253.334863,16,0
0,206.205251,0,0,480.256604,0,0
?,133.651551,0,0,91.884651,18,0
?,56.324582,0,0,11.225577,30,0
?,45.823389,0,0,0,1,0
0,192.840096,0,0,181.590219,?,0
0,211.933174,0,0,933.670871,7,1
0,294.988067,0,30,137.678402,4,1
0,259.665871,0,30,22.781318,?,1
?,?,?,?,?,?,0
0,179.47494,53.333333,0,1580.462213,15,0
?,151.789976,0,0,0,7,0
?,3.818616,0,0,0,1,0
1,186.157518,0,0,348.455121,2,0
?,?,?,0,0,31,0
0,134.606205,0,0,5.612789,20,0
0,?,?,30,3.235608,6,0
0,262.529833,1866.666667,0,493.066968,0,1
?,32.458234,0,0,45.628669,14,0
0,204.295943,0,0,888.735546,0,1
?,24.821002,?,0,0,?,0
?,?,?,0,0,24,0
?,110.739857,0,0,0,0,0
?,160.381862,0,0,0,?,0
0,123.150358,93.333333,0,9.112527,10,0
0,217.661098,0,30,6.372166,7,0
3,163.245823,0,0,82.970222,54,0
0,190.930788,?,0,250.726567,14,1
?,?,?,0,0,3,0
?,?,?,0,0,0,0
?,85.918854,0,0,0,3,0
0,240.572792,533.333333,30,515.584155,0,1
?,157.5179,0,0,621.434744,6,0
0,96.420048,?,0,42.294013,8,0
?,?,?,0,0,?,0
0,186.157518,82.666667,0,798.534732,1,1
0,284.486874,0,30,0,?,1
?,108.830549,0,0,109.119213,10,0
0,219.570406,0,0,154.21962,4,0
0,208.114559,240,1,60.5851,18,1
0,105.011933,0,0,125.03312,2,0
?,63.00716,?,0,0,13,0
0,130.78759,?,0,2.245115,19,0
2,207.159905,0,0,424.260783,3,1
?,38.186158,0,0,0,13,0
?,?,?,0,0,4,0
0,183.293556,0,30,166.303624,36,0
?,234.844869,0,30,0,?,0
?,101.193317,0,0,0,12,0
0,214.797136,0,29,311.113569,13,0
?,60.143198,?,0,0,7,0
0,210.023866,0,0,311.674848,?,0
0,182.338902,0,0,7.923937,2,0
0,154.653938,200,0,356.114927,18,0
?,45.823389,0,0,129.754465,3,0
0,238.663485,0,30,13.602758,7,0
?,?,?,?,?,?,0
0,236.754177,0,1,873.448951,3,1
?,?,?,30,0.099049,5,0
?,?,?,0,0,11,0
0,240.572792,1920,0,469.790404,3,1
?,?,0,0,0,10,0
0,353.221957,0,1,449.188168,0,1
?,?,?,?,?,2,0
?,?,?,?,?,?,0
0,122.195704,0,0,4514.464899,9,0
0,348.448687,0,29,713.847657,?,1
0,152.74463,0,0,1144.975853,10,0
1,110.739857,66.666667,0,165.115033,5,0
?,133.651551,0,0,674.062891,13,0
0,155.608592,0,0,101.62449,26,0
0,183.293556,0,0,104.364851,6,0
0,210.023866,0,0,6.405182,6,0
0,272.076372,0,30,8.881413,1,0
?,?,?,0,0,?,0
?,?,?,?,?,?,0
?,86.873508,0,0,0,23,0
0,224.343675,0,30,190.66973,2,1
?,153.699284,0,0,0,17,0
0,?,?,0,0,2,0
0,144.152745,0,0,0,21,0
0,121.24105,0,0,326.730328,6,0
0,217.661098,200,30,194.895829,18,0
0,261.575179,13333.33333,0,9923.146067,0,1
?,19.093079,0,0,0,20,0
?,?,?,?,?,?,0
0,195.704057,0,29,207.343013,2,1
?,157.5179,0,0,0,3,0
0,197.613365,0,1,22.253056,1,0
?,166.109785,0,0,85.809632,17,0
0,164.200477,0,0,103.143244,19,0
0,209.069212,266.666667,0,1734.945965,0,1
0,189.02148,0,29,1.617804,1,0
0,207.159905,0,0,1015.122338,3,0
?,56.324582,0,0,0,11,0
0,177.565633,0,30,0,0,0
?,115.513127,0,0,0,21,0
0,213.842482,0,1,132.065614,30,0
0,143.198091,0,0,8.254101,15,0
?,?,?,0,0,?,0
0,220.52506,0,0,667.591676,8,0
?,?,?,0,0,14,0
?,?,?,?,?,17,0
0,283.53222,0,30,48.666179,2,1
?,142.243437,0,0,39.75175,1,0
?,174.701671,0,0,459.81945,4,0
0,284.486874,2053.333333,30,1006.141876,5,0
?,166.109785,0,0,23.111482,0,0
0,269.212411,?,30,0,?,1
?,?,0,30,6.207084,30,0
0,136.515513,0,0,10.796364,10,0
0,363.72315,8000,30,16421.17045,0,1
?,67.78043,0,0,0,10,0
0,154.653938,133.333333,0,186.90586,10,0
?,168.019093,0,0,0,29,0
0,235.799523,0,0,1184.694586,?,0
?,68.735084,0,0,0,0,0
?,46.778043,?,0,0,11,0
0,268.257757,0,30,98.355866,2,0
0,315.0358,0,30,101.888621,2,1
1,188.066826,5333.333333,0,222.266428,19,0
0,94.51074,0,0,34.535158,15,0
?,164.200477,0,0,3.30164,0,0
0,?,0,30,0,10,0
0,173.747017,0,0,7.89092,6,0
0,144.152745,400,0,724.743071,15,0
0,283.53222,666.666667,30,263.801063,0,1
0,211.933174,0,0,117.736494,13,0
0,227.207637,0,0,872.623541,10,0
0,256.801909,0,30,86.800124,7,0
?,35.322196,0,0,0,?,0
?,167.064439,0,0,477.020996,0,0
?,237.708831,0,0,0,?,0
0,164.200477,0,0,160.393688,23,0
0,118.377088,?,0,39.586668,2,0
?,117.422434,0,0,83.99373,16,0
0,301.670644,1333.333333,30,253.665027,0,1
?,131.742243,0,0,18.720301,16,0
0,?,?,30,23.903876,34,0
0,164.200477,0,0,147.220143,11,0
0,271.121718,0,30,33.016403,0,0
?,135.560859,0,0,74.584055,11,0
0,227.207637,0,0,422.213766,0,1
0,109.785203,?,0,64.8112,2,0
0,235.799523,?,30,0,?,0
0,230.071599,453.333333,0,150.09257,0,0
0,223.389022,533.333333,30,976.92236,3,0
?,?,?,0,0,3,0
0,228.162291,0,0,757.363277,3,1
?,?,?,?,?,?,0
?,?,?,0,0,13,0
0,158.472554,0,0,0,10,0
0,213.842482,0,0,377.707655,0,1
0,132.696897,0,0,54.70818,9,0
?,123.150358,0,0,0,9,0
0,206.205251,173.333333,0,1561.411748,5,1
0,264.439141,0,30,37.935847,11,0
0,92.601432,0,0,0,10,0
2,170.883055,0,0,11.951938,4,0
?,?,?,0,0,4,0
?,12.410501,0,0,240.128302,3,0
0,322.673031,666.666667,30,103.209277,?,1
0,278.75895,0,30,65.141364,25,1
0,108.830549,0,0,64.8112,11,0
0,150.835322,0,0,18.35712,6,0
0,98.329356,0,0,29.021419,19,0
?,?,?,?,?,?,0
?,200.477327,?,0,0,10,0
0,240.572792,133.333333,30,197.438092,0,1
0,345.584726,1866.666667,30,1379.491366,?,1
0,68.735084,0,0,0,29,0
0,244.391408,0,30,94.82311,12,0
?,97.374702,0,0,41.864799,17,0
1,?,0,30,10.00397,49,0
0,200.477327,0,0,1117.010959,1,0
?,92.601432,0,0,16.409152,7,0
0,209.069212,1733.333333,0,135.367254,6,0
0,251.073986,666.666667,0,1097.63033,2,1
0,147.016706,200,0,127.179186,3,0
?,25.775656,0,0,0,0,0
0,118.377088,1706.666667,0,293.416777,12,0
?,?,?,0,0,14,0
0,136.515513,133.333333,2,4.886428,6,0
0,234.844869,53.333333,0,11.423676,3,0
?,6.682578,?,0,10.532233,12,0
0,153.699284,0,0,3.862919,5,0
0,168.019093,120,0,969.625734,1,1
?,171.837709,0,0,33.016403,7,0
2,71.599045,0,0,0,0,0
?,?,?,?,?,?,0
?,?,?,0,0,10,0
?,?,?,?,?,?,0
0,226.252983,0,0,422.246783,2,1
?,?,?,0,0,11,0
0,286.396181,0,30,0,0,1
0,269.212411,0,1,636.655306,2,1
?,84.9642,0,0,0,5,0
?,?,?,0,0,0,0
?,?,?,?,?,10,0
?,68.735084,?,0,0,?,0
1,89.73747,0,0,335.941904,3,0
?,?,?,0,0,10,0
0,243.436754,0,30,0,3,1
?,?,0,30,16.673284,4,0
0,216.706444,133.333333,0,112.850067,1,0
?,286.396181,0,30,16.508202,0,1
0,?,?,30,0,33,0
0,172.792363,66.666667,0,90.431929,13,0
?,250.119332,0,30,217.148885,2,0
0,259.665871,133.333333,30,76.432974,3,1
?,31.50358,0,0,0,0,0
0,105.966587,0,0,2.146066,7,0
0,149.880668,0,0,7.362658,11,0
?,68.735084,0,0,36.35106,0,0
0,208.114559,0,0,175.449168,2,0
0,243.436754,106.666667,30,43.251488,2,1
0,235.799523,0,1,669.803775,0,1
?,?,?,0,0,24,0
?,181.384248,0,29,288.233202,1,0
0,189.976134,0,29,169.836379,16,0
0,46.778043,?,0,0,11,0
?,89.73747,0,0,0.990492,7,0
0,207.159905,80,0,254.919651,18,1
0,179.47494,106.933333,0,433.340294,4,0
0,239.618138,0,30,137.51332,0,1
?,85.918854,0,0,0,10,0
0,218.615752,533.333333,0,45.99185,2,1
0,233.890215,0,30,27.502664,2,1
?,130.78759,0,0,546.256394,26,0
0,231.026253,0,0,83.762615,0,1
1,65.871122,66.666667,0,79.536516,17,0
0,213.842482,0,0,1334.853188,2,1
?,167.064439,0,30,20.206039,30,0
0,234.844869,0,0,576.532436,2,0
0,178.520286,0,0,40.346045,8,0
0,336.038186,2666.666667,30,356.18096,0,1
0,229.116945,0,1,268.885589,17,0
0,207.159905,0,30,30.47414,9,1
0,164.200477,4266.666667,0,2512.581313,0,0
0,?,80,0,0,41,0
?,?,?,?,?,3,0
?,25.775656,0,0,0,15,0
?,54.415274,?,0,0,23,0
0,300.715991,400,30,295.95904,11,1
0,141.288783,0,0,19.974924,5,0
0,264.439141,0,30,16.508202,8,1
?,281.622912,0,30,115.557412,14,1
?,20.047733,?,0,0,7,0
0,129.832936,0,0,465.531288,1,0
0,181.384248,0,0,84.687075,2,0
?,?,?,30,0,127,0
0,140.334129,0,0,1.023509,4,0
0,189.02148,109.6,30,1.716853,30,0
0,321.718377,800,30,218.634623,0,1
0,122.195704,0,0,4.952461,9,0
?,?,?,?,?,12,0
?,78.281623,0,0,0,2,0
?,108.830549,0,0,3.169575,6,0
0,247.25537,0,30,15.583742,1,1
0,149.880668,0,0,221.903247,1,0
?,?,?,0,0,?,0
0,209.069212,0,30,17.333612,4,0
0,230.071599,0,1,192.32055,2,0
?,241.527446,0,30,0,?,1
0,187.112172,80,1,201.763241,41,0
0,244.391408,360,0,1725.965503,5,0
0,91.646778,80,0,2.839411,14,0
0,308.353222,6986.666667,30,3867.574508,2,1
?,?,?,0,0,33,0
?,?,?,0,0,0,0
0,145.107399,0,0,97.200292,39,0
0,141.288783,0,0,660.129969,6,0
0,243.436754,320,0,1156.498577,1,1
0,233.890215,0,0,927.001558,0,1
0,176.610979,0,0,0,7,0
0,220.52506,0,0,135.928533,2,1
0,297.852029,2906.666667,30,0,?,1
?,98.329356,0,0,0,10,0
0,115.513127,0,0,1.353673,10,0
?,?,?,?,?,27,0
0,172.792363,80,0,149.993521,6,0
?,42.004773,0,0,0,13,0
?,?,?,0,0,0,0
0,166.109785,0,0,179.840349,12,0
?,110.739857,0,0,0,?,0
?,112.649165,0,0,376.420015,0,0
0,255.847255,1066.666667,30,45.067391,2,1
0,168.019093,146.666667,0,14.461185,?,0
?,?,?,0,0,9,0
0,159.427208,0,0,0.429213,6,0
0,136.515513,0,0,2643.7885,4,0
?,73.508353,0,0,0,1,0
0,210.023866,200,0,866.48249,23,0
0,64.916468,0,0,11.852889,22,0
?,46.778043,?,0,0,11,0
0,167.064439,0,30,0.165082,18,0
?,84.9642,0,0,0,17,0
?,105.011933,0,0,0,29,0
?,105.966587,0,0,69.697628,0,0
?,?,?,1,0,0,0
0,?,?,30,9.904921,?,0
?,60.143198,0,0,0,9,0
?,?,?,30,0,115,0
0,369.451074,0,30,1514.990685,?,1
2,223.389022,200,30,1786.48457,13,0
1,174.701671,0,0,1073.924553,10,0
0,210.97852,0,0,179.873366,5,0
?,?,?,?,?,3,0
?,107.875895,0,0,29.780796,2,0
0,232.935561,0,0,174.458675,5,1
?,142.243437,0,0,64.943265,4,0
?,?,?,0,0,?,0
0,274.940334,?,30,7.230592,21,0
0,204.295943,400,0,551.869182,16,0
?,?,0,?,?,?,0
0,254.892601,0,30,1.683837,10,0
?,36.27685,0,0,0,?,0
0,217.661098,146.666667,0,350.66722,5,0
?,75.417661,0,0,0,15,0
0,302.625298,0,30,42.921324,0,1
0,195.704057,53.6,0,309.792913,10,1
0,219.570406,0,29,473.554274,10,0
?,132.696897,0,0,55.500574,6,0
0,119.331742,0,0,0,12,0
0,170.883055,0,0,86.10678,100,0
?,105.011933,0,0,58.967296,1,0
0,212.887828,0,1,247.623025,4,0
1,94.51074,80,0,0,3,0
0,200.477327,0,0,239.765121,4,0
?,220.52506,0,30,8.122035,?,0
0,244.391408,0,0,164.916935,2,1
0,199.522673,0,0,512.546646,1,0
?,?,?,0,0,13,0
0,284.486874,0,30,0,?,0
0,88.782816,0,0,0,11,0
0,254.892601,133.333333,30,254.226306,19,0
?,?,?,0,0,?,0
0,278.75895,0,30,26.413123,?,1
?,129.832936,?,0,0,?,0
0,364.677804,1146.666667,30,3386.129314,0,1
?,114.558473,0,0,0,9,0
?,102.147971,0,0,81.418451,13,0
?,141.288783,0,0,269.314802,9,0
1,51.551313,66.666667,0,507.693235,16,0
?,62.052506,0,0,0,16,0
?,53.460621,?,0,14.758332,9,0
0,165.155131,0,0,16.508202,6,0
0,346.53938,0,30,33.016403,0,1
?,52.505967,?,0,0,10,0
?,84.009547,?,0,0,?,0
0,263.484487,240,30,38.100929,7,1
?,101.193317,0,0,63.655626,36,0
?,?,?,0,0,0,0
0,132.696897,360,0,204.041373,4,0
?,105.011933,0,0,3.070526,29,0
0,304.534606,666.666667,30,352.252008,2,1
?,?,?,?,?,?,0
0,137.470167,0,0,1270.471202,14,0
?,137.470167,0,0,16.508202,21,0
0,113.603819,?,0,3.598788,?,0
0,354.176611,0,30,300.482287,5,1
0,206.205251,0,0,12.94243,22,0
0,100.238664,0,0,1.155574,18,0
?,138.424821,0,0,0,6,0
0,214.797136,200,0,246.269353,1,0
0,230.071599,200,0,142.201649,2,1
?,84.009547,0,0,922.544343,10,0
0,91.646778,0,0,390.05579,20,0
?,126.968974,0,0,313.655832,1,0
0,274.940334,0,30,475.766373,1,1
?,?,0,30,0,5,0
?,?,?,?,?,1,0
?,?,?,0,0,6,0
?,193.794749,0,30,38.992372,3,0
0,287.350835,0,30,87.262354,8,0
0,226.252983,0,0,2358.460742,1,1
?,137.470167,0,0,16.838366,3,0
?,?,?,0,0,?,0
?,?,?,30,0,5,0
0,77.326969,0,0,48.864277,2,0
0,138.424821,0,0,4.424198,6,0
0,148.926014,0,0,317.947965,1,0
0,206.205251,133.333333,0,180.665759,25,0
0,101.193317,0,0,0.198098,1,0
?,89.73747,0,0,0,2,0
?,?,?,0,0,3,0
?,62.052506,?,0,0,5,0
0,122.195704,0,0,0,9,0
0,232.935561,66.933333,30,5.87692,1,0
?,?,?,?,?,?,0
0,251.073986,0,0,1191.132785,4,1
0,193.794749,0,0,133.782467,24,0
0,213.842482,0,0,715.003232,8,1
?,130.78759,0,0,126.68394,10,0
?,?,?,0,0,20,0
0,241.527446,133.333333,30,414.223797,1,1
0,131.742243,133.333333,0,177.892381,3,0
?,?,?,0,0,18,0
0,178.520286,166.666667,0,964.145011,7,0
?,?,?,0,0,11,0
2,249.164678,0,1,1299.723735,1,1
?,?,?,0,0,1,0
0,302.625298,0,0,2275.193373,?,1
?,?,?,?,?,20,0
?,?,?,0,0,?,0
0,242.4821,80,30,214.012327,31,0
0,200.477327,0,0,1063.656451,3,1
?,203.341289,?,30,9.310626,9,0
0,210.023866,0,0,114.732002,?,0
0,108.830549,0,0,0,0,0
?,?,?,30,0,8,0
?,?,?,?,?,?,0
0,66.825776,0,0,218.403508,4,0
?,240.572792,0,29,0,17,0
?,40.095465,?,0,0,13,0
0,236.754177,360,1,182.448645,16,0
?,227.207637,0,30,0,?,0
?,?,?,0,0,2,0
?,57.279236,0,0,0,2,0
2,66.825776,200,0,0.561279,22,0
0,221.479714,0,1,451.730431,6,0
0,193.794749,0,0,22.054957,31,0
?,100.238664,0,0,41.105422,4,0
0,222.434368,133.333333,0,1634.179901,0,0
?,48.687351,0,0,0,2,0
?,?,?,?,?,?,0
3,210.97852,0,30,440.108657,0,0
0,216.706444,0,30,138.041583,10,0
0,122.195704,0,0,17.16853,13,0
?,?,?,?,?,15,0
0,175.656325,106.933333,0,19.842858,14,0
0,170.883055,0,0,945.787891,0,0
0,266.348449,200,30,108.623967,1,1
?,139.379475,0,0,0,?,0
?,?,?,0,0,0,0
?,?,?,?,?,1,0
0,251.073986,0,30,13.206561,1,0
?,31.50358,0,0,0,4,0
?,234.844869,0,0,0,0,0
?,-8.591885,0,0,0,16,0
0,206.205251,0,0,8820.464227,0,1
0,?,0,0,0,0,0
?,?,?,0,0,25,0
0,195.704057,0,29,28.559189,0,0
?,51.551313,0,0,0,3,0
?,276.849642,0,30,4.094034,?,0
?,41.050119,0,0,221.870231,28,0
0,153.699284,0,0,126.650923,7,0
?,129.832936,0,0,0,2,0
0,255.847255,0,30,94.988193,3,1
0,272.076372,0,0,66.858217,38,0
0,113.603819,40,0,76.796154,14,0
?,?,?,?,?,10,0
?,59.188544,0,0,163.365164,2,0
0,?,?,30,0,16,0
?,86.873508,0,0,0,5,0
?,?,?,0,0,4,0
?,?,?,?,?,?,0
0,275.894988,0,30,112.751018,13,1
0,224.343675,0,3,647.187539,14,0
?,?,?,?,?,?,0
?,?,?,0,0,26,0
?,?,?,0,0,12,0
0,136.515513,0,0,17.498694,0,0
?,49.642005,?,0,0,13,0
?,?,?,0,0,3,0
?,?,?,?,?,3,0
0,238.663485,66.666667,1,313.391701,0,1
0,187.112172,0,0,927.694902,33,0
?,73.508353,0,0,0,18,0
0,154.653938,0,0,0,1,0
?,?,?,?,?,31,0
0,220.52506,0,0,808.736801,4,1
0,208.114559,0,30,1643.721642,10,1
?,105.966587,0,0,14.098004,17,0
?,35.322196,0,0,0,10,0
?,78.281623,0,0,69.895726,?,0
0,186.157518,0,0,28.229025,18,0
0,175.656325,0,30,0.066033,7,0
0,165.155131,0,30,2.872427,32,0
0,165.155131,0,0,2078.481642,2,0
?,?,?,0,0,?,0
0,166.109785,200,0,67.914742,2,0
0,182.338902,0,0,92.743077,2,0
0,289.260143,133.333333,30,13.701807,1,1
0,234.844869,0,0,325.112524,4,1
?,?,?,?,?,11,0
?,55.369928,0,0,367.769717,12,0
?,?,?,0,0,11,0
?,?,?,0,9.970954,5,0
0,164.200477,0,0,186.311564,1,0
0,118.377088,0,0,0.528262,4,0
0,165.155131,80,0,454.503809,16,0
0,221.479714,0,0,24.795319,2,1
0,358.949881,9866.666667,30,569.532958,5,1
0,315.990454,0,30,21.790826,9,1
0,245.346062,0,30,224.808691,0,1
?,?,?,?,?,?,0
0,259.665871,1573.333333,0,2363.842416,16,1
?,105.966587,0,0,122.028627,6,0
0,132.696897,0,0,574.584468,13,0
?,?,?,?,?,10,0
?,?,?,?,?,?,0
0,255.847255,0,30,37.242503,1,1
0,333.174224,0,30,12837.76812,3,1
?,?,?,0,0,17,0
0,228.162291,0,0,30.276042,1,1
?,87.828162,0,0,0,20,0
?,98.329356,0,0,27.238533,5,0
0,146.062053,0,0,449.617381,55,0
?,62.052506,?,0,0,28,0
0,124.105012,?,0,0.198098,14,0
?,165.155131,0,1,14.857382,1,0
?,?,?,0,0,?,0
?,?,?,?,?,16,0
0,187.112172,206.666667,0,58.637132,8,1
?,53.460621,?,0,0,?,0
?,80.190931,?,0,0,36,0
0,145.107399,133.333333,0,383.386476,3,0
0,265.393795,0,0,159.006999,11,1
0,269.212411,3893.333333,0,560.354398,?,0
0,265.393795,133.333333,30,107.303311,15,1
?,?,?,?,?,?,0
?,?,?,0,0,10,0
0,153.699284,0,0,1.782886,10,0
0,193.794749,0,0,323.791868,12,0
0,98.329356,0,0,152.733882,40,0
?,47.732697,?,0,0,0,0
0,259.665871,0,0,63.721659,8,0
0,282.577566,133.333333,30,55.63264,0,1
0,124.105012,0,0,10.301118,22,0
?,115.513127,0,0,0,0,0
?,245.346062,0,30,0,9,0
?,118.377088,0,0,96.473931,6,0
0,174.701671,0,0,0,0,0
0,126.968974,1600,0,221.6061,0,0
0,175.656325,0,0,3.30164,0,0
?,?,?,0,0,18,0
?,168.019093,0,0,177.397135,18,0
?,57.279236,0,0,30.47414,4,0
0,361.813843,4080,30,2752.742631,13,1
0,237.708831,0,30,127.575383,6,1
0,179.47494,0,0,196.810781,0,0
?,?,?,0,0,?,0
0,279.713604,0,30,31.860829,7,0
?,271.121718,0,30,90.762093,?,1
0,65.871122,0,0,0.36318,0,0
?,?,?,?,?,2,0
0,171.837709,40,0,184.033432,34,0
0,211.933174,80,0,270.833557,3,1
?,64.916468,?,0,0,5,0
?,?,?,?,?,?,1
0,63.00716,80,0,0,34,0
0,133.651551,0,0,5.975969,32,0
0,159.427208,0,0,38.398077,25,0
?,98.329356,0,0,0,1,0
0,119.331742,?,0,8.254101,24,0
0,98.329356,?,0,0,10,0
?,55.369928,0,0,0,15,0
0,136.515513,0,0,260.268308,9,0
?,68.735084,?,0,0,1,0
0,289.260143,?,30,302.19914,26,0
2,117.422434,66.666667,0,193.608189,26,0
1,46.778043,66.666667,0,0,2,0
?,117.422434,0,0,0,13,0
?,?,?,0,0,?,0
?,95.465394,0,0,274.597427,18,0
0,256.801909,1120,30,630.481239,15,0
0,203.341289,133.333333,0,103.077211,20,0
?,42.004773,0,0,0,11,0
0,68.735084,0,0,13.206561,18,0
?,?,?,30,0,7,0
?,194.749403,0,0,26.281057,36,0
